id,state,start_date,end_date,methodology,sample_size,pollster,population,national,generic_candidates,other_pct,undecided_pct,margin_of_error,undecided_and_other_pct,partisan_flag,tracking
276,CT,6/2/2010,6/8/2010,,1159,Quinnipiac,RV,0,0,1,12,2.7,,,
277,CT,6/1/2010,6/1/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,3,9,4.5,,,
278,CT,5/24/2010,5/25/2010,,1159,Quinnipiac,RV,0,0,1,13,2.9,,,
279,CT,5/18/2010,5/18/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,5,4.5,,,
280,CT,5/4/2010,5/4/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,11,4.5,,,
281,CT,4/7/2010,4/7/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,6,4.5,,,
282,CT,3/9/2010,3/15/2010,,1451,Quinnipiac,RV,0,0,0,13,2.6,,,
283,CT,3/2/2010,3/2/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,10,4.5,,,
284,CT,1/11/2010,1/13/2010,,600,Research 2000,LV,0,0,,11,4,,,
285,CT,1/8/2010,1/12/2010,,1430,Quinnipiac,RV,0,0,1,14,2.6,,,
286,CT,1/6/2010,1/6/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,10,4.5,,,
287,CT,1/4/2010,1/5/2010,,522,PPP,RV,0,0,,14,4.5,,,
288,CT,7/28/2010,8/2/2010,,1299,Quinnipiac,RV,0,0,,7,2.7,,,
289,CT,7/15/2010,7/15/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,5,4.5,,,
290,CT,7/7/2010,7/13/2010,,1367,Quinnipiac,RV,0,0,1,9,2.7,,,
291,CT,6/2/2010,6/8/2010,,1159,Quinnipiac,RV,0,0,1,10,2.7,,,
292,CT,5/24/2010,5/25/2010,,1159,Quinnipiac,RV,0,0,2,13,2.9,,,
293,CT,5/24/2010,5/26/2010,,600,Research 2000,LV,0,0,,,4,,,
294,CT,5/18/2010,5/18/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,5,4.5,,,
295,CT,5/4/2010,5/4/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,8,4.5,,,
296,CT,4/7/2010,4/7/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,6,4.5,,,
297,CT,3/9/2010,3/15/2010,,1451,Quinnipiac,RV,0,0,1,10,2.6,,,
298,CT,3/2/2010,3/2/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,3,7,4.5,,,
299,CT,2/1/2010,2/1/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,7,4.5,,,
300,CT,1/11/2010,1/13/2010,,600,Research 2000,LV,0,0,,,4,,,
301,CT,1/8/2010,1/12/2010,,1430,Quinnipiac,RV,0,0,0,10,2.6,,,
302,CT,1/6/2010,1/6/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,7,,,,
303,CT,1/6/2010,1/11/2010,,500,YouGov,RV,0,0,,19,,,,
304,CT,1/4/2010,1/5/2010,,522,PPP,RV,0,0,,13,,,,
305,DE,1/6/2010,1/11/2010,,500,YouGov,RV,0,0,,,,,,
306,DE,11/30/2009,12/2/2009,,571,PPP,RV,0,0,,,,,,
307,DE,11/10/2009,11/15/2009,,500,Susquehanna,LV,0,0,,,,,,
308,DE,10/12/2009,10/14/2009,,600,Research 2000,LV,0,0,,,,,,
309,DE,9/30/2009,9/30/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
310,DE,4/27/2009,4/30/2009,,500,Susquehanna,LV,0,0,,,,,,
311,DE,3/5/2009,3/8/2009,,782,PPP,RV,0,0,,,,,,
312,DE,8/7/2010,8/8/2010,,620,PPP,RV,0,0,0,17,4,,,
313,DE,8/5/2010,8/5/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,9,3,,,
314,DE,7/14/2010,7/14/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,11,3,,,
315,DE,4/29/2010,4/29/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,7,7,4.5,,,
316,DE,2/22/2010,2/22/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,8,8,4.5,,,
317,DE,2/22/2010,2/24/2010,,600,Research 2000,LV,0,0,0,12,4,,,
318,DE,1/25/2010,1/25/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,13,4.5,,,
319,DE,10/12/2009,10/14/2009,,600,Research 2000,LV,0,0,0,10,4,,,
320,DE,3/5/2009,3/8/2009,,782,PPP,RV,0,0,0,23,3.5,,,
321,FL,8/11/2010,8/16/2010,,1096,Quinnipiac,RV,0,0,,,3,,,
322,FL,8/9/2010,8/11/2010,,625,Mason-Dixon,LV,0,0,,,4,,,
323,FL,8/9/2010,8/9/2010,,750,Rasmussen (Pulse Opinion Research),LV,0,0,2,5,4,,,
324,FL,8/6/2010,8/10/2010,,602,Ipsos,RV,0,0,,,4,,,
325,FL,7/31/2010,8/1/2010,,600,McLaughlin,LV,0,0,0,10,4,,R,0
326,FL,7/24/2010,7/28/2010,,590,U. South Florida,LV,0,0,0,18,4,,,
327,FL,7/22/2010,7/27/2010,,969,Quinnipiac,RV,0,0,0,12,3.2,,,
328,FL,7/21/2010,7/21/2010,,750,Rasmussen (Pulse Opinion Research),LV,0,0,3,9,4,,,
329,FL,7/16/2010,7/18/2010,,900,PPP,RV,0,0,3,16,3.3,,,
330,FL,7/9/2010,7/11/2010,,600,Ipsos,RV,0,0,0,19,4,,,
331,FL,7/8/2010,7/8/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,0,12,4.5,,,
332,FL,6/7/2010,6/7/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,0,10,4.5,,,
333,FL,6/1/2010,6/7/2010,,1133,Quinnipiac,RV,0,0,0,11,2.9,,,
334,FL,4/8/2010,4/13/2010,,1250,Quinnipiac,RV,0,0,,,,,,
335,FL,3/23/2010,3/25/2010,,625,Mason-Dixon,LV,0,0,,,,,,
336,FL,3/18/2010,3/18/2010,,1000,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
337,FL,3/15/2010,3/17/2010,,600,Research 2000,LV,0,0,,,,,,
338,FL,3/5/2010,3/8/2010,,849,PPP,LV,0,0,,,,,,
339,FL,2/18/2010,2/18/2010,,1000,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
340,FL,1/27/2010,1/28/2010,,800,McLaughlin,LV,0,0,,,,,,
341,FL,1/27/2010,1/27/2010,,1000,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
342,FL,1/20/2010,1/24/2010,,1618,Quinnipiac,RV,0,0,,,,,,
343,FL,1/6/2010,1/11/2010,,500,YouGov,RV,0,0,,,,,,
344,FL,12/14/2009,12/14/2009,,1000,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
345,FL,11/16/2009,11/18/2009,,600,Research 2000,LV,0,0,,,,,,
346,FL,10/20/2009,10/20/2009,,466,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
347,FL,10/12/2009,10/18/2009,,1078,Quinnipiac,RV,0,0,,,,,,
348,FL,8/17/2009,8/17/2009,,1000,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
349,FL,6/24/2009,6/24/2009,,625,Mason-Dixon,LV,0,0,,,,,,
350,FL,6/22/2009,6/22/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
351,FL,5/14/2009,5/18/2009,,625,Mason-Dixon,RV,0,0,,,,,,
352,FL,1/26/2009,1/28/2009,,600,Research 2000,LV,0,0,,,,,,
353,FL,4/8/2010,4/13/2010,,1250,Quinnipiac,RV,0,0,,,,,,
354,FL,3/18/2010,3/18/2010,,1000,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
355,FL,3/15/2010,3/17/2010,,600,Research 2000,LV,0,0,,,,,,
356,FL,3/5/2010,3/8/2010,,849,PPP,LV,0,0,,,,,,
357,FL,2/18/2010,2/18/2010,,1000,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
358,FL,1/27/2010,1/28/2010,,800,McLaughlin,LV,0,0,,,,,,
359,FL,1/27/2010,1/27/2010,,1000,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
360,FL,1/20/2010,1/24/2010,,1618,Quinnipiac,RV,0,0,,,,,,
361,FL,1/6/2010,1/11/2010,,500,YouGov,RV,0,0,,,,,,
362,FL,12/14/2009,12/14/2009,,1000,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
363,FL,11/16/2009,11/18/2009,,600,Research 2000,LV,0,0,,,,,,
364,FL,10/20/2009,10/20/2009,,466,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
365,FL,10/12/2009,10/18/2009,,1078,Quinnipiac,RV,0,0,,,,,,
366,FL,1/26/2009,1/28/2009,,600,Research 2000,LV,0,0,,,,,,
367,FL,8/11/2010,8/16/2010,,1096,Quinnipiac,RV,0,0,,,3,,,
368,FL,8/9/2010,8/11/2010,,625,Mason-Dixon,LV,0,0,,,4,,,
369,FL,8/9/2010,8/9/2010,,750,Rasmussen (Pulse Opinion Research),LV,0,0,1,7,4,,,
370,FL,8/6/2010,8/10/2010,,602,Ipsos,RV,0,0,,,4,,,
371,FL,7/24/2010,7/28/2010,,590,U. South Florida,LV,0,0,,17,4,,,
372,FL,7/22/2010,7/27/2010,,969,Quinnipiac,RV,0,0,,14,3.2,,,
373,FL,7/21/2010,7/21/2010,,750,Rasmussen (Pulse Opinion Research),LV,0,0,3,8,4,,,
374,FL,7/16/2010,7/18/2010,,900,PPP,RV,0,0,4,15,3.3,,,
375,FL,7/9/2010,7/11/2010,,600,Ipsos,RV,0,0,,20,4,,,
376,FL,7/8/2010,7/8/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,14,4.5,,,
377,FL,6/7/2010,6/7/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,11,4.5,,,
378,FL,6/1/2010,6/7/2010,,1133,Quinnipiac,RV,0,0,,11,2.9,,,
379,FL,5/16/2010,5/16/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,12,4.5,,,
380,FL,5/14/2010,5/18/2010,,607,Ipsos,RV,0,0,,25,4,,,
381,FL,5/3/2010,5/5/2010,,625,Mason-Dixon,LV,0,0,,11,4,,,
382,FL,5/3/2010,5/3/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,11,4.5,,,
383,FL,4/21/2010,4/21/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,11,4.5,,,
384,FL,4/8/2010,4/13/2010,,1250,Quinnipiac,RV,0,0,,13,2.8,,,
385,FL,3/18/2010,3/18/2010,,1000,Rasmussen (Pulse Opinion Research),LV,0,0,,11,4.5,,,
386,FL,3/15/2010,3/17/2010,,600,Research 2000,LV,0,0,,11,4,,,
387,FL,3/5/2010,3/8/2010,,849,PPP,RV,0,0,,14,3.4,,,
388,GA,8/11/2010,8/11/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,2,2,4.5,,,
389,GA,5/20/2010,5/20/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,8,4.5,,,
390,GA,4/22/2010,4/22/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,8,4.5,,,
391,GA,4/5/2010,4/7/2010,,600,Research 2000,LV,0,0,,21,4,,,
392,HI,3/24/2010,3/24/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
393,HI,6/15/2009,6/17/2009,,600,Research 2000,LV,0,0,,8,4,,,
394,HI,6/24/2010,6/24/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,3,8,4.5,,,
395,ID,7/15/2010,7/15/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,3,6,4.5,,,
396,ID,5/11/2010,5/11/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,2,9,4.5,,,
397,IL,8/14/2010,8/15/2010,,576,PPP,LV,0,0,9,19,,,,
398,IL,8/9/2010,8/9/2010,,750,Rasmussen (Pulse Opinion Research),LV,0,0,8,12,4,,,
399,IL,7/26/2010,7/26/2010,,750,Rasmussen (Pulse Opinion Research),LV,0,0,6,10,4,,,
400,IL,7/7/2010,7/7/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,9,12,4.5,,,
401,IL,6/12/2010,6/13/2010,,591,PPP,RV,0,0,4,24,4.2,,,
402,IL,6/7/2010,6/7/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,7,12,4.5,,,
403,IL,5/3/2010,5/5/2010,,600,Research 2000,LV,0,0,,21,4,,,
404,IL,5/2/2010,5/2/2010,,1090,We Ask America,LV,0,0,5,17,3,,R,
405,IL,4/28/2010,4/28/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,12,4.5,,,
406,IL,4/5/2010,4/5/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,8,13,4.5,,,
407,IL,4/1/2010,4/5/2010,,591,PPP,RV,0,0,,30,4,,,
408,IL,3/8/2010,3/8/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,10,4.5,,,
409,IL,2/22/2010,2/24/2010,,600,Research 2000,LV,0,0,2,19,4,,,
410,IL,2/3/2010,2/3/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,10,4.5,,,
411,IL,1/22/2010,1/25/2010,,1062,PPP,RV,0,0,,24,3,,,
412,IL,12/9/2009,12/9/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,3,15,4.5,,,
413,IL,10/14/2009,10/14/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,13,4.5,,,
414,IL,8/17/2009,8/17/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,17,4.5,,,
415,IL,4/24/2009,4/26/2009,,991,PPP,RV,0,0,,29,3.1,,,
416,IL,1/26/2009,1/28/2009,,600,Research 2000,LV,0,0,0,32,4,,,
417,IL,12/9/2009,12/9/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
418,IL,10/14/2009,10/14/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
419,IL,12/9/2009,12/9/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
420,IL,10/14/2009,10/14/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
421,IN,1/23/2010,1/23/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
422,IN,1/23/2010,1/23/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
423,IN,8/4/2010,8/7/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,7,14,4.5,,,
424,IN,7/7/2010,7/8/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,12,4.5,,,
425,IN,6/2/2010,6/3/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,7,14,4.5,,,
426,IN,5/5/2010,5/6/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,8,4.5,,,
427,IN,4/22/2010,4/26/2010,,1250,SurveyUSA,LV,0,0,,22,2.8,,,
428,IN,4/13/2010,4/14/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,9,4.5,,,
429,IN,3/17/2010,3/18/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,12,4.5,,,
430,IN,2/22/2010,2/24/2010,RBS,600,Research 2000,LV,0,0,0,27,4,,,
431,IN,2/16/2010,2/17/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,7,15,4.5,,,
432,IN,4/13/2010,4/14/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
433,IN,3/17/2010,3/18/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
434,IN,2/22/2010,2/24/2010,,600,Research 2000,LV,0,0,,,,,,
435,IN,2/16/2010,2/17/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
436,IN,4/13/2010,4/14/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
437,IN,3/17/2010,3/18/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
438,IN,2/16/2010,2/17/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
439,IA,8/5/2010,8/5/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,,4.5,,,
440,IA,6/14/2010,6/14/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,8,,4.5,,,
441,IA,5/31/2010,6/2/2010,,600,Research 2000,LV,0,0,8,,4,,,
442,IA,5/25/2010,5/27/2010,,1277,PPP,RV,0,0,12,,2.7,,,
443,IA,5/3/2010,5/5/2010,,600,Research 2000,LV,0,0,11,,4,,,
444,IA,4/29/2010,4/29/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,4,,4.5,,,
445,IA,3/17/2010,3/17/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,,4.5,,,
446,IA,2/22/2010,2/22/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,6,,4.5,,,
447,IA,2/15/2010,2/17/2010,,600,Research 2000,LV,0,0,9,,4,,,
448,IA,1/26/2010,1/26/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,,4.5,,,
449,IA,10/12/2009,10/14/2009,,600,Research 2000,LV,0,0,,,,,,
450,IA,3/17/2010,3/17/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
451,IA,2/22/2010,2/22/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
452,IA,1/26/2010,1/26/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
453,IA,10/12/2009,10/14/2009,,600,Research 2000,LV,0,0,,,,,,
454,IA,3/17/2010,3/17/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
455,IA,2/22/2010,2/22/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
456,IA,1/26/2010,1/26/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
457,IA,10/12/2009,10/14/2009,,600,Research 2000,LV,0,0,,,,,,
458,IA,9/17/2009,9/17/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
459,KS,6/30/2010,6/30/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,4.5,,,
460,KS,5/11/2010,5/11/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
461,KS,6/30/2010,6/30/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,4.5,,,
462,KS,5/11/2010,5/11/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
463,KS,8/12/2010,8/15/2010,,588,SurveyUSA,LV,0,0,,,3.9,,,
464,KS,8/4/2010,8/4/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,6,4.5,,,
465,KS,6/30/2010,6/30/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,8,9,4.5,,,
466,KS,5/11/2010,5/11/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,5,10,4.5,,,
467,KS,6/30/2010,6/30/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,4.5,,,
468,KS,6/30/2010,6/30/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,4.5,,,
469,KS,5/11/2010,5/11/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
470,KS,6/30/2010,6/30/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,4.5,,,
471,KS,5/11/2010,5/11/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
472,KY,5/1/2010,5/2/2010,,946,PPP,RV,0,0,,,,,,
473,KY,3/31/2010,3/31/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
474,KY,3/15/2010,3/17/2010,,600,Research 2000,LV,0,0,,,,,,
475,KY,3/3/2010,3/3/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
476,KY,2/2/2010,2/2/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
477,KY,1/6/2010,1/6/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
478,KY,12/18/2009,12/21/2009,,1199,PPP,RV,0,0,,,,,,
479,KY,10/30/2009,11/2/2009,,1770,SurveyUSA,RV,0,0,,,,,,
480,KY,9/30/2009,9/30/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
481,KY,8/31/2009,9/2/2009,,600,Research 2000,LV,0,0,,,,,,
482,KY,8/15/2009,8/17/2009,,1944,SurveyUSA,RV,0,0,,,,,,
483,KY,4/2/2009,4/3/2009,,610,PPP,RV,0,0,,,,,,
484,KY,2/2/2009,2/4/2009,,600,Research 2000,LV,0,0,,,,,,
485,KY,8/17/2010,8/17/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,4.5,,,
486,KY,8/16/2010,8/18/2010,,801,Braun Research,LV,0,0,,,3.5,,,
487,KY,8/13/2010,8/15/2010,,600,Ipsos,RV,0,0,,,4,,,
488,KY,8/13/2010,8/15/2010,,435,Ipsos,LV,0,0,,,4.7,,,
489,KY,8/2/2010,8/4/2010,,802,Braun Research,LV,0,0,,,3.5,,,
490,KY,7/27/2010,7/29/2010,,569,SurveyUSA,LV,0,0,,,4.2,,,
491,KY,7/20/2010,7/20/2010,,750,Rasmussen (Pulse Opinion Research),LV,0,0,,,4,,,
492,KY,7/19/2010,7/21/2010,,803,Braun Research,LV,0,0,,,3.5,,,
493,KY,6/28/2010,6/30/2010,,625,PPP,RV,0,0,,,3.9,,,
494,KY,6/28/2010,6/28/2010,,800,Rasmussen (Pulse Opinion Research),LV,0,0,,,4.5,,,
495,KY,6/1/2010,6/1/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,4.5,,,
496,KY,5/27/2010,5/28/2010,,569,SurveyUSA,LV,0,0,,,4.2,,,
497,KY,5/24/2010,5/26/2010,,600,Research 2000,LV,0,0,,,4,,,
498,KY,5/19/2010,5/19/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,4.5,,,
499,KY,5/10/2010,5/12/2010,,600,Research 2000,LV,0,0,,,4,,,
500,KY,5/1/2010,5/2/2010,,946,PPP,RV,0,0,,,3.2,,,
501,KY,4/28/2010,4/28/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,4.5,,,
502,KY,3/31/2010,3/31/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,4.5,,,
503,KY,3/15/2010,3/17/2010,,600,Research 2000,LV,0,0,,,4,,,
504,KY,3/2/2010,3/2/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,4.5,,,
505,KY,2/2/2010,2/2/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,4.5,,,
506,KY,1/6/2010,1/6/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,4.5,,,
507,KY,12/18/2009,12/21/2009,,1199,PPP,RV,0,0,,,2.8,,,
508,KY,10/30/2009,11/2/2009,,1770,SurveyUSA,RV,0,0,,,2.4,,,
509,KY,9/30/2009,9/30/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,4.5,,,
510,KY,8/31/2009,9/2/2009,,600,Research 2000,LV,0,0,,,4,,,
511,KY,8/15/2009,8/17/2009,,1944,SurveyUSA,RV,0,0,,,2.3,,,
512,KY,5/1/2010,5/2/2010,,946,PPP,RV,0,0,,,,,,
513,KY,3/30/2010,3/30/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
514,KY,3/15/2010,3/17/2010,,600,Research 2000,LV,0,0,,,,,,
515,KY,3/3/2010,3/3/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
516,KY,2/2/2010,2/2/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
517,KY,1/6/2010,1/6/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
518,KY,12/18/2009,12/21/2009,,1199,PPP,RV,0,0,,,,,,
519,KY,10/30/2009,11/2/2009,,1770,SurveyUSA,RV,0,0,,,,,,
520,KY,9/30/2009,9/30/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
521,KY,8/31/2009,9/2/2009,,600,Research 2000,LV,0,0,,,,,,
522,KY,8/15/2009,8/17/2009,,1944,SurveyUSA,RV,0,0,,,,,,
523,KY,4/2/2009,4/3/2009,,610,PPP,RV,0,0,,,,,,
524,KY,2/2/2009,2/4/2009,,600,Research 2000,LV,0,0,,,,,,
525,KY,5/1/2010,5/2/2010,,946,PPP,RV,0,0,,,,,,
526,KY,3/30/2010,3/30/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
527,KY,3/15/2010,3/17/2010,,600,Research 2000,LV,0,0,,,,,,
528,KY,3/3/2010,3/3/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
529,KY,2/2/2010,2/2/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
530,KY,1/6/2010,1/6/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
531,KY,12/18/2009,12/21/2009,,1199,PPP,RV,0,0,,,,,,
532,KY,10/30/2009,11/2/2009,,1770,SurveyUSA,RV,0,0,,,,,,
533,KY,9/30/2009,9/30/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
534,KY,8/31/2009,9/2/2009,,600,Research 2000,LV,0,0,,,,,,
535,KY,8/15/2009,8/17/2009,,1944,SurveyUSA,RV,0,0,,,,,,
536,LA,1/14/2010,1/14/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
537,LA,10/5/2009,10/5/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
538,LA,3/2/2009,3/4/2009,,600,Research 2000,LV,0,0,,,,,,
539,LA,8/15/2010,8/16/2010,,600,Clarus,RV,0,0,,,,,,
540,LA,6/24/2010,6/24/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
541,LA,6/12/2010,6/13/2010,,492,PPP,RV,0,0,,,,,,
542,LA,6/10/2010,6/13/2010,,1030,Magellan,LV,0,0,,,3.1,,,
543,LA,4/7/2010,4/7/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
544,LA,3/10/2010,3/10/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
545,LA,2/10/2010,2/10/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
546,LA,1/14/2010,1/14/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
547,LA,1/6/2010,1/11/2010,,500,YouGov,RV,0,0,,,,,,
548,LA,10/5/2009,10/5/2009,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
549,LA,10/4/2009,10/7/2009,,600,SMOR,LV,0,0,,,,,,
550,LA,7/17/2009,7/19/2009,,727,PPP,RV,0,0,,,,,,
551,LA,3/2/2009,3/4/2009,,600,Research 2000,LV,0,0,,,4,,,
552,MD,7/10/2010,7/12/2010,,569,PPP,RV,0,0,,,,,,
553,MD,7/10/2010,7/12/2010,,569,PPP,RV,0,0,,,,,,
554,MD,7/8/2010,7/8/2010,,500,Rasmussen (Pulse Opinion Research),LV,0,0,,,,,,
555,MO,8/14/2010,8/15/2010,,690,PPP,LV,0,0,,,,,,
556,MO,8/10/2010,8/10/2010,,750,Rasmussen (Pulse Opinion Research),LV,0,0,3,4,,,,
557,MO,7/27/2010,7/27/2010,,750,Rasmussen (Pulse Opinion Research),LV,0,0,4,4,,,,
