"startdate","enddate","Democrats","Republicans","Sample","Poll","knownDate"
2010-02-22,2010-02-28,36,44,"3500 LV","Rasmussen Reports",2010-03-02
2010-02-24,2010-02-25,35,42,"1000 LV","McLaughlin & Associates (R)",2010-02-27
2010-02-22,2010-02-23,42,41,"rv","Winston Group!!New Models",2010-02-25
2010-02-15,2010-02-21,35,44,"3500 LV","Rasmussen Reports",2010-02-23
2010-02-17,2010-02-18,45,43,"908 RV","Newsweek",2010-02-20
2010-02-17,2010-02-18,42,43,"900 RV","POS (R)",2010-02-20
2010-02-12,2010-02-15,46,46,"a","Opinion Research Corporation!!Cable News Network",2010-02-17
2010-02-12,2010-02-15,45,47,"954 RV","CNN/Opinion Research",2010-02-17
2010-02-08,2010-02-14,36,45,"3500 LV","Rasmussen Reports",2010-02-16
2010-02-03,2010-02-09,36,35,"a","Princeton Survey Research Associates International!!Pew Research Center for the People & the Press",2010-02-11
2010-02-03,2010-02-09,45,42,"1129 RV","Pew Research",2010-02-11
2010-02-04,2010-02-08,46,46,"a","ABC News/Washington Post!!",2010-02-10
2010-02-04,2010-02-08,45,48,"RV","ABC News/Wash Post",2010-02-10
2010-02-01,2010-02-07,36,44,"3500 LV","Rasmussen Reports",2010-02-09
2010-02-02,2010-02-04,43,40,"lv","Greenberg Quinlan Rosner Research!!Common Cause, Change Congress, Public Campaign Action Fund",2010-02-06
2010-02-01,2010-02-03,41,40,"a","Gallup Organization!!",2010-02-05
2010-02-01,2010-02-03,45,45,"942 RV","Gallup",2010-02-05
2010-01-29,2010-01-31,40,43,"584 RV","PPP (D)",2010-02-02
2010-01-25,2010-01-31,38,45,"3500 LV","Rasmussen Reports",2010-02-02
2010-01-25,2010-01-26,42,43,"rv","Winston Group!!New Models",2010-01-28
2010-01-18,2010-01-24,37,46,"3500 LV","Rasmussen Reports",2010-01-26
2010-01-20,2010-01-23,34,38,"lv","Greenberg Quinlan Rosner Research & Public Opinion Strategies!!National Public Radio",2010-01-25
2010-01-20,2010-01-23,39,44,"800 LV","NPR - POS/GQR",2010-01-25
2010-01-19,2010-01-20,37,42,"1000 LV","McLaughlin & Associates (R)",2010-01-22
2010-01-18,2010-01-19,42,45,"1151 RV","PPP (D)",2010-01-21
2010-01-11,2010-01-17,37,45,"3500 LV","Rasmussen Reports",2010-01-19
2010-01-08,2010-01-10,45,46,"a","Opinion Research Corporation!!Cable News Network",2010-01-12
2010-01-06,2010-01-10,43,36,"a","Princeton Survey Research Associates International!!Pew Research Center for the People & the Press",2010-01-12
2010-01-08,2010-01-10,48,44,"a","Gallup Organization!!USA Today",2010-01-12
2010-01-08,2010-01-10,43,40,"a","Gallup Organization!!USA Today",2010-01-12
2010-01-08,2010-01-10,45,48,"955 RV","CNN/Opinion Research",2010-01-12
2010-01-06,2010-01-10,46,44,"1214 RV","Pew Research",2010-01-12
2010-01-04,2010-01-10,36,45,"3500 LV","Rasmussen Reports",2010-01-12
2009-12-29,2009-12-30,51,39,"1000 RV","Winston Group (R)",2010-01-01
2009-12-28,2009-12-29,45,44,"rv","Winston Group!!New Models",2009-12-31
2009-12-21,2009-12-27,38,43,"2500 LV","Rasmussen Reports",2009-12-29
2009-12-14,2009-12-20,36,44,"3500 LV","Rasmussen Reports",2009-12-22
2009-12-11,2009-12-13,47,43,"a","Gallup Organization!!USA Today",2009-12-15
2009-12-11,2009-12-13,43,41,"a","Gallup Organization!!USA Today",2009-12-15
2009-12-11,2009-12-13,48,45,"898 RV","USA Today/Gallup",2009-12-15
2009-12-07,2009-12-13,37,44,"3500 LV","Rasmussen Reports",2009-12-15
2009-12-06,2009-12-10,38,38,"lv","Tarrance Group & Lake Research Partners!!George Washington University",2009-12-12
2009-12-06,2009-12-10,41,42,"1000 LV","Battleground",2009-12-12
2009-12-03,2009-12-07,36,35,"a","Selzer & Co.!!Bloomberg",2009-12-09
2009-12-04,2009-12-07,44,42,"1253 RV","PPP (D)",2009-12-09
2009-12-03,2009-12-07,38,42,"714 LV","Bloomberg",2009-12-09
2009-11-30,2009-12-06,39,43,"3500 LV","Rasmussen Reports",2009-12-08
2009-11-23,2009-11-29,37,44,"3500 LV","Rasmussen Reports",2009-12-01
2009-11-16,2009-11-22,37,44,"3500 LV","Rasmussen Reports",2009-11-24
2009-11-13,2009-11-15,49,42,"a","Opinion Research Corporation!!Cable News Network",2009-11-17
2009-11-13,2009-11-15,45,38,"a","Opinion Research Corporation!!Cable News Network",2009-11-17
2009-11-13,2009-11-15,49,43,"928 RV","CNN/Opinion Research",2009-11-17
2009-11-13,2009-11-15,46,38,"1066 RV","PPP (D)",2009-11-17
2009-11-09,2009-11-15,38,44,"3500 LV","Rasmussen Reports",2009-11-17
2009-10-28,2009-11-08,40,34,"a","Abt SRBI!!Pew Research Center for the People & the Press, Council on Foreign Relations",2009-11-10
2009-11-05,2009-11-08,40,40,"a","Gallup Organization!!",2009-11-10
2009-11-05,2009-11-08,44,46,"a","Gallup Organization!!",2009-11-10
2009-11-05,2009-11-08,44,48,"894 RV","Gallup",2009-11-10
2009-11-02,2009-11-08,37,43,"3500 LV","Rasmussen Reports",2009-11-10
2009-10-28,2009-11-08,47,42,"1644 RV","Pew Research",2009-11-10
2009-10-30,2009-11-01,51,41,"a","Opinion Research Corporation!!Cable News Network",2009-11-03
2009-10-30,2009-11-01,48,38,"a","Opinion Research Corporation!!Cable News Network",2009-11-03
2009-10-30,2009-11-01,50,44,"952 RV","CNN/Opinion Research",2009-11-03
2009-10-29,2009-11-01,46,45,"950 RV","Ipsos/McClatchy",2009-11-03
2009-10-26,2009-11-01,38,42,"3500 LV","Rasmussen Reports",2009-11-03
2009-10-19,2009-10-25,38,42,"3500 LV","Rasmussen Reports",2009-10-27
2009-10-16,2009-10-19,48,40,"766 RV","PPP (D)",2009-10-21
2009-10-15,2009-10-18,48,35,"a","ABC News/Washington Post!!",2009-10-20
2009-10-12,2009-10-18,37,42,"3500 LV","Rasmussen Reports",2009-10-20
2009-10-10,2009-10-11,46,42,"rv","Winston Group!!New Models",2009-10-13
2009-10-05,2009-10-11,39,41,"3500 LV","Rasmussen Reports",2009-10-13
2009-10-05,2009-10-08,46,33,"RV","CBS News",2009-10-10
2009-10-01,2009-10-04,45,38,"a","Gallup Organization!!",2009-10-06
2009-10-01,2009-10-04,47,42,"a","Gallup Organization!!",2009-10-06
2009-10-01,2009-10-04,46,44,"906 RV","Gallup",2009-10-06
2009-09-28,2009-10-04,39,43,"3500 LV","Rasmussen Reports",2009-10-06
2009-09-21,2009-09-27,40,42,"3500 LV","Rasmussen Reports",2009-09-29
2009-09-14,2009-09-20,38,42,"3500 LV","Rasmussen Reports",2009-09-22
2009-09-07,2009-09-13,40,41,"3500 LV","Rasmussen Reports",2009-09-15
2009-08-31,2009-09-06,37,44,"3500 LV","Rasmussen Reports",2009-09-08
2009-08-27,2009-08-31,44,30,"a","CBS News!!",2009-09-02
2009-08-27,2009-08-31,42,34,"903 RV","Ipsos-McClatchy",2009-09-02
2009-08-27,2009-08-30,41,45,"596 RV","PPP (D)",2009-09-01
2009-08-24,2009-08-30,36,43,"3500 LV","Rasmussen Reports",2009-09-01
2009-08-20,2009-08-27,40,35,"a","Princeton Survey Research Associates International!!Pew Research Center for the People & the Press, Pew Forum on Religion & Public Life",2009-08-29
2009-08-20,2009-08-27,45,44,"1669 RV","Pew Research",2009-08-29
2009-08-17,2009-08-23,38,43,"3500 LV","Rasmussen Reports",2009-08-25
2009-08-09,2009-08-16,38,43,"3500 LV","Rasmussen Reports",2009-08-18
2009-08-03,2009-08-09,38,42,"3500 LV","Rasmussen Reports",2009-08-11
2009-07-27,2009-08-02,38,43,"3500 LV","Rasmussen Reports",2009-08-04
2009-07-22,2009-07-26,38,38,"lv","Greenberg Quinlan Rosner Research & Public Opinion Strategies!!National Public Radio",2009-07-28
2009-07-22,2009-07-26,42,43,"850 LV","NPR",2009-07-28
2009-07-20,2009-07-26,39,42,"3500 LV","Rasmussen Reports",2009-07-28
2009-07-19,2009-07-23,39,34,"lv","Tarrance Group & Lake Research Partners!!George Washington University",2009-07-25
2009-07-22,2009-07-23,47,44,"rv","Winston Group!!New Models",2009-07-25
2009-07-19,2009-07-23,43,40,"1000 LV","GWU/Battleground",2009-07-25
2009-07-13,2009-07-19,38,42,"3500 LV","Rasmussen Reports",2009-07-21
2009-07-08,2009-07-14,37,40,"3500 LV","Rasmussen Reports",2009-07-16
2009-07-09,2009-07-13,39,32,"800 RV","Diageo/Hotline",2009-07-15
2009-07-10,2009-07-12,49,42,"a","Gallup Organization!!",2009-07-14
2009-07-10,2009-07-12,50,44,"916 RV","Gallup",2009-07-14
2009-06-29,2009-07-05,38,41,"3500 LV","Rasmussen Reports",2009-07-07
2009-06-23,2009-06-29,42,34,"3063 RV","Quinnipiac",2009-07-01
2009-06-22,2009-06-28,39,41,"3500 LV","Rasmussen Reports",2009-06-30
2009-06-15,2009-06-21,41,39,"3500 LV","Rasmussen Reports",2009-06-23
2009-06-08,2009-06-14,39,39,"3500 LV","Rasmussen Reports",2009-06-16
2009-06-04,2009-06-07,39,30,"800 RV","Diageo/Hotline",2009-06-09
2009-06-01,2009-06-07,40,40,"3500 LV","Rasmussen Reports",2009-06-09
2009-06-02,2009-06-03,45,40,"rv","Winston Group!!New Models",2009-06-05
2009-05-26,2009-06-01,42,32,"3097 RV","Quinnipiac",2009-06-03
2009-05-25,2009-05-31,38,37,"3500 LV","Rasmussen Reports",2009-06-02
2009-05-18,2009-05-24,41,38,"3500 LV","Rasmussen Reports",2009-05-26
2009-05-11,2009-05-17,40,39,"3500 LV","Rasmussen Reports",2009-05-19
2009-05-04,2009-05-10,39,40,"3500 LV","Rasmussen Reports",2009-05-12
2009-04-27,2009-05-03,39,40,"3500 LV","Rasmussen Reports",2009-05-05
2009-04-21,2009-04-27,41,34,"2041 RV","Quinnipiac",2009-04-29
2009-04-23,2009-04-26,39,31,"800 RV","Diageo/Hotline",2009-04-28
2009-04-20,2009-04-26,38,41,"3500 LV","Rasmussen Reports",2009-04-28
2009-04-19,2009-04-21,41,37,"800 LV","POS (R)",2009-04-23
2009-04-13,2009-04-19,39,39,"3500 LV","Rasmussen Reports",2009-04-21
2009-04-06,2009-04-12,38,38,"3500 LV","Rasmussen Reports",2009-04-14
2009-03-30,2009-04-05,40,39,"3500 LV","Rasmussen Reports",2009-04-07
2009-03-26,2009-03-29,37,32,"800 RV","Diageo/Hotline",2009-03-31
2009-03-23,2009-03-29,42,38,"3500 LV","Rasmussen Reports",2009-03-31
2009-03-24,2009-03-25,50,39,"rv","Winston Group!!New Models",2009-03-27
2009-03-16,2009-03-22,41,38,"3500 LV","Rasmussen Reports",2009-03-24
2009-03-09,2009-03-15,39,41,"3500 LV","Rasmussen Reports",2009-03-17
2009-03-10,2009-03-14,36,35,"lv","Greenberg Quinlan Rosner Research & Public Opinion Strategies!!National Public Radio",2009-03-16
2009-03-10,2009-03-14,42,42,"800 LV","NPR",2009-03-16
2009-03-02,2009-03-08,42,38,"3500 LV","Rasmussen Reports",2009-03-10
2009-02-28,2009-03-02,40,34,"803 RV","Diageo/Hotline",2009-03-04
2009-02-23,2009-03-01,41,39,"3500 LV","Rasmussen Reports",2009-03-03
2009-02-16,2009-02-22,41,37,"3500 LV","Rasmussen Reports",2009-02-24
2009-02-09,2009-02-15,41,39,"3500 LV","Rasmussen Reports",2009-02-17
2009-02-02,2009-02-08,40,39,"3500 LV","Rasmussen Reports",2009-02-10
2009-01-26,2009-02-01,42,38,"3500 LV","Rasmussen Reports",2009-02-03
2009-01-19,2009-01-25,42,35,"3500 LV","Rasmussen Reports",2009-01-27
2009-01-21,2009-01-24,46,22,"800 RV","Diageo/Hotline",2009-01-26
2009-12-28,2009-01-03,35,44,"4000 LV","Rasmussen Reports",2009-01-05
2008-12-31,2008-12-31,47,36,"rv","Winston Group!!New Models",2009-01-02
2008-10-31,2008-11-02,54,39,"a","Gallup Organization!!USA Today",2008-11-04
2008-11-01,2008-11-02,48,36,"1011 LV","NBC News/Wall St. Jrnl*",2008-11-04
2008-10-31,2008-11-02,53,41,"2472 LV","Gallup",2008-11-04
2008-10-31,2008-11-02,44,39,"887 LV","Diageo/Hotline",2008-11-04
2008-10-30,2008-11-01,53,45,"a","Opinion Research Corporation!!Cable News Network",2008-11-03
2008-10-30,2008-11-01,52,43,"a","Opinion Research Corporation!!Cable News Network",2008-11-03
2008-10-29,2008-11-01,46,28,"a","CBS News!!",2008-11-03
2008-10-29,2008-10-31,45,36,"a","CBS News!!",2008-11-02
2008-10-28,2008-10-30,45,33,"a","CBS News!!",2008-11-01
2008-10-23,2008-10-29,43,40,"lv","Tarrance Group & Lake Research Partners!!George Washington University",2008-10-31
2008-10-25,2008-10-29,48,36,"1005 LV","CBS News/NY Times",2008-10-31
2008-10-23,2008-10-29,45,41,"1000 LV","GWU/Battleground",2008-10-31
2008-10-20,2008-10-26,47,40,"7000 LV","Rasmussen Reports",2008-10-28
2008-10-22,2008-10-23,50,41,"rv","Winston Group!!New Models",2008-10-25
2008-10-16,2008-10-22,46,38,"lv","Tarrance Group & Lake Research Partners!!George Washington University",2008-10-24
2008-10-19,2008-10-22,48,36,"1146 RV","CBS News/NY Times",2008-10-24
2008-10-16,2008-10-22,48,40,"1000 LV","GWU/Battleground",2008-10-24
2008-10-17,2008-10-20,49,38,"1159 RV","NBC News/Wall St. Jrnl*",2008-10-22
2008-10-09,2008-10-15,47,39,"lv","Tarrance Group & Lake Research Partners!!George Washington University",2008-10-17
2008-10-09,2008-10-15,49,40,"1000 LV","GWU/Battleground",2008-10-17
2008-10-10,2008-10-13,45,39,"1030 LV","LA Times/Bloomberg",2008-10-15
2008-10-10,2008-10-13,48,34,"699 LV","CBS News/NY Times",2008-10-15
2008-10-10,2008-10-12,51,43,"a","Gallup Organization!!USA Today",2008-10-14
2008-10-10,2008-10-12,51,45,"LV","USA Today/Gallup",2008-10-14
2008-10-08,2008-10-09,44,36,"900 RV","FOX News",2008-10-11
2008-10-06,2008-10-09,49,38,"800 LV","GWU/Battleground",2008-10-11
2008-10-03,2008-10-05,54,45,"a","Opinion Research Corporation!!Cable News Network",2008-10-07
2008-10-03,2008-10-05,52,44,"a","Opinion Research Corporation!!Cable News Network",2008-10-07
2008-10-04,2008-10-05,49,36,"658 RV","NBC News/Wall St. Jrnl*",2008-10-07
2008-09-28,2008-10-02,46,35,"lv","Tarrance Group & Lake Research Partners!!George Washington University",2008-10-04
2008-09-27,2008-09-30,49,36,"808 LV","Associated Press/GfK*",2008-10-02
2008-09-26,2008-09-29,46,36,"1133 LV","Time",2008-10-01
2008-09-24,2008-09-25,50,42,"rv","Winston Group!!New Models",2008-09-27
2008-09-21,2008-09-25,46,41,"1000 LV","GWU/Battleground",2008-09-27
2008-09-19,2008-09-22,46,36,"a","Los Angeles Times!!Bloomberg",2008-09-24
2008-09-19,2008-09-22,50,37,"1085 RV","NBC News/Wall St. Jrnl*",2008-09-24
2008-09-19,2008-09-22,51,41,"838 LV","LA Times/Bloomberg",2008-09-24
2008-09-19,2008-09-21,54,40,"a","Opinion Research Corporation!!Cable News Network",2008-09-23
2008-09-19,2008-09-21,56,42,"697 LV","CNN/Opinion Research",2008-09-23
2008-09-15,2008-09-21,45,38,"7000 LV","Rasmussen",2008-09-23
2008-09-12,2008-09-16,51,31,"1004 RV","CBS News/NY Times",2008-09-18
2008-09-08,2008-09-14,44,38,"7000 LV","Rasmussen",2008-09-16
2008-09-07,2008-09-11,46,38,"lv","Tarrance Group & Lake Research Partners!!George Washington University",2008-09-13
2008-09-10,2008-09-11,45,37,"a","Princeton Survey Research Associates International!!Newsweek",2008-09-13
2008-09-10,2008-09-11,49,41,"1038 RV","Newsweek",2008-09-13
2008-09-07,2008-09-11,48,40,"1000 LV","Battleground",2008-09-13
2008-09-05,2008-09-10,46,41,"812 LV","Associated Press/GfK*",2008-09-12
2008-09-05,2008-09-07,49,46,"942 RV","CNN/OpinionResearch",2008-09-09
2008-09-05,2008-09-07,45,50,"823 LV","USA Today/Gallup",2008-09-09
2008-09-01,2008-09-07,45,37,"7000 LV","Rasmussen",2008-09-09
2008-08-30,2008-08-31,51,40,"rv","Winston Group!!New Models",2008-09-02
2008-08-25,2008-08-31,46,36,"7000 LV","Rasmussen",2008-09-02
2008-08-21,2008-08-23,53,38,"a","Gallup Organization!!USA Today",2008-08-25
2008-08-21,2008-08-23,51,42,"765 LV","USA Today/Gallup",2008-08-25
2008-08-19,2008-08-20,45,38,"900 RV","FOX News",2008-08-22
2008-08-15,2008-08-18,47,36,"1005 RV","NBC News/Wall St. Jrnl*",2008-08-20
2008-08-10,2008-08-14,43,37,"lv","Tarrance Group & Lake Research Partners!!George Washington University",2008-08-16
2008-08-10,2008-08-14,47,40,"1000 LV","Battleground",2008-08-16
2008-08-04,2008-08-10,45,37,"7000 LV","Rasmussen",2008-08-12
2008-07-31,2008-08-04,53,34,"a","Ipsos-Public Affairs!!Associated Press",2008-08-06
2008-07-31,2008-08-04,53,35,"833 RV","AP-Ipsos",2008-08-06
2008-07-28,2008-08-03,46,36,"7000 LV","Rasmussen",2008-08-05
2008-07-31,2008-07-31,48,42,"rv","Winston Group!!New Models",2008-08-02
2008-07-31,2008-07-31,41,53,"rv","Winston Group!!New Models",2008-08-02
2008-07-31,2008-07-31,46,47,"rv","Winston Group!!New Models",2008-08-02
2008-07-21,2008-07-24,42,37,"rv","Greenberg Quinlan Rosner Research!!Third Way",2008-07-26
2008-07-21,2008-07-24,46,42,"rv","Greenberg Quinlan Rosner Research!!Third Way",2008-07-26
2008-07-18,2008-07-21,49,36,"1003 RV","NBC News/Wall St. Jrnl*",2008-07-23
2008-07-14,2008-07-20,47,34,"7000 LV","Rasmussen",2008-07-22
2008-07-10,2008-07-14,47,37,"a","Ipsos-Public Affairs!!Associated Press",2008-07-16
2008-07-07,2008-07-13,46,36,"7000 LV","Rasmussen",2008-07-15
2008-06-28,2008-06-30,49,41,"rv","Winston Group!!New Models",2008-07-02
2008-06-18,2008-06-29,52,37,"1574 RV","Pew Research",2008-07-01
2008-06-19,2008-06-23,51,33,"a","Ipsos-Public Affairs!!Associated Press",2008-06-25
2008-06-16,2008-06-22,47,34,"7000 LV","Rasmussen",2008-06-24
2008-06-15,2008-06-19,52,42,"1310 LV","USA Today/Gallup",2008-06-21
2008-06-09,2008-06-15,48,34,"7000 LV","Rasmussen",2008-06-17
2008-06-02,2008-06-08,47,34,"7423 LV","Rasmussen",2008-06-10
2008-06-04,2008-06-05,54,44,"a","Opinion Research Corporation!!Cable News Network",2008-06-07
2008-05-31,2008-06-01,47,40,"rv","Winston Group!!New Models",2008-06-03
2008-05-21,2008-05-22,47,39,"800 LV","Rasmussen",2008-05-24
2008-05-11,2008-05-14,47,36,"lv","Tarrance Group & Lake Research Partners!!George Washington University",2008-05-16
2008-05-11,2008-05-14,49,40,"1018 LV","Battleground",2008-05-16
2008-04-30,2008-04-30,48,39,"rv","Winston Group!!New Models",2008-05-02
2008-04-30,2008-04-30,50,40,"rv","Winston Group!!New Models",2008-05-02
2008-04-28,2008-04-29,46,41,"800 LV","Rasmussen",2008-05-01
2008-04-25,2008-04-29,50,32,"956 RV","CBS News/NY Times",2008-05-01
2008-04-25,2008-04-28,49,34,"1006 RV","NBC News/Wall St. Jrnl*",2008-04-30
2008-04-04,2008-04-06,43,37,"--","Rasmussen",2008-04-08
2008-03-31,2008-03-31,49,40,"rv","Winston Group!!New Models",2008-04-02
2008-03-12,2008-03-13,44,40,"--","Rasmussen",2008-03-15
2008-03-07,2008-03-10,49,35,"--","NBC News/Wall St. Jrnl*",2008-03-12
2008-02-29,2008-02-29,52,38,"rv","Winston Group!!New Models",2008-03-02
2008-02-08,2008-02-10,56,40,"a","Gallup Organization!!",2008-02-12
2008-02-08,2008-02-10,54,37,"a","Gallup Organization!!USA Today",2008-02-12
2008-01-19,2008-01-20,48,40,"rv","Winston Group!!New Models",2008-01-22
2008-01-14,2008-01-15,43,38,"--","Rasmussen",2008-01-17
2007-12-14,2007-12-16,53,39,"a","Gallup Organization!!USA Today",2007-12-18
2007-12-14,2007-12-16,50,37,"a","Gallup Organization!!USA Today",2007-12-18
2007-12-15,2007-12-16,47,37,"rv","Winston Group!!New Models",2007-12-18
2007-12-14,2007-12-16,53,40,"--","USA Today/Gallup",2007-12-18
2007-12-09,2007-12-12,42,37,"lv","Tarrance Group & Lake Research Partners!!George Washington University",2007-12-14
2007-12-09,2007-12-12,46,41,"--","Battleground",2007-12-14
2007-12-07,2007-12-09,46,36,"--","Rasmussen",2007-12-11
2007-11-28,2007-11-29,50,37,"rv","Winston Group!!New Models",2007-12-01
2007-11-01,2007-11-05,46,37,"--","NBC News/Wall St. Jrnl*",2007-11-07
2007-11-02,2007-11-04,52,40,"a","Opinion Research Corporation!!Cable News Network",2007-11-06
2007-11-02,2007-11-04,53,41,"a","Opinion Research Corporation!!Cable News Network",2007-11-06
2007-11-02,2007-11-04,46,35,"--","Rasmussen",2007-11-06
2007-11-02,2007-11-04,53,42,"--","CNN",2007-11-06
2007-10-04,2007-10-04,48,36,"--","Rasmussen",2007-10-06
2007-09-29,2007-09-30,49,37,"rv","Winston Group!!New Models",2007-10-02
2007-09-10,2007-09-12,47,35,"--","NBC News/Wall St. Jrnl*",2007-09-14
2007-09-04,2007-09-04,50,32,"--","Rasmussen",2007-09-06
2007-07-15,2007-07-18,44,37,"lv","Tarrance Group & Lake Research Partners!!George Washington University",2007-07-20
2007-07-15,2007-07-18,48,40,"--","Battleground",2007-07-20
2007-07-16,2007-07-17,49,37,"rv","Winston Group!!New Models",2007-07-19
2007-07-16,2007-07-17,46,37,"--","Rasmussen",2007-07-19
2007-06-22,2007-06-24,52,38,"a","Opinion Research Corporation!!Cable News Network",2007-06-26
2007-06-22,2007-06-24,54,39,"a","Opinion Research Corporation!!Cable News Network",2007-06-26
2007-06-22,2007-06-24,53,41,"--","CNN",2007-06-26
2007-06-20,2007-06-21,50,35,"rv","Winston Group!!New Models",2007-06-23
2007-05-30,2007-05-31,49,36,"rv","Winston Group!!New Models",2007-06-02
2007-04-25,2007-04-26,49,38,"rv","Winston Group!!New Models",2007-04-28
2007-03-26,2007-03-27,47,38,"rv","Winston Group!!New Models",2007-03-29
2007-02-21,2007-02-22,51,38,"rv","Winston Group!!New Models",2007-02-24
2007-01-16,2007-01-17,52,34,"rv","Winston Group!!New Models",2007-01-19
2006-11-03,2006-11-05,54,39,"a","Opinion Research Corporation!!Cable News Network",2006-11-07
2006-11-03,2006-11-05,48,35,"a","Opinion Research Corporation!!Cable News Network",2006-11-07
2006-11-04,2006-11-05,49,36,"900 LV","FOX News",2006-11-07
2006-11-03,2006-11-05,58,38,"636 LV","CNN",2006-11-07
2006-11-02,2006-11-05,51,44,"1362 LV","USA Today/Gallup",2006-11-07
2006-11-01,2006-11-04,53,43,"a","ABC News/Washington Post!!",2006-11-06
2006-11-01,2006-11-04,49,41,"a","ABC News/Washington Post!!",2006-11-06
2006-11-01,2006-11-04,48,40,"a","Princeton Survey Research Associates International!!Pew Research Center for the People & the Press",2006-11-06
2006-11-01,2006-11-04,44,35,"a","Princeton Survey Research Associates International!!Pew Research Center for the People & the Press",2006-11-06
2006-11-01,2006-11-04,51,45,"LV","ABC News/Wash Post",2006-11-06
2006-11-01,2006-11-04,47,43,"LV","Pew Research",2006-11-06
2006-11-01,2006-11-03,51,36,"a","Schulman, Ronca, & Bucuvalas!!Time",2006-11-05
2006-11-02,2006-11-03,49,33,"a","Princeton Survey Research Associates International!!Newsweek",2006-11-05
2006-11-02,2006-11-03,52,36,"a","Princeton Survey Research Associates International!!Newsweek",2006-11-05
2006-11-03,2006-11-03,51,40,"RV","Gallup",2006-11-05
2006-11-02,2006-11-03,54,38,"838 LV","Newsweek",2006-11-05
2006-11-01,2006-11-03,55,40,"679 LV","Time",2006-11-05
2006-10-27,2006-10-31,52,34,"LV","CBS News/NY Times",2006-11-02
2006-10-28,2006-10-30,52,37,"1,010 RV","NBC/WSJ",2006-11-01
2006-10-27,2006-10-29,55,37,"a","Opinion Research Corporation!!Cable News Network",2006-10-31
2006-10-27,2006-10-29,51,35,"a","Opinion Research Corporation!!Cable News Network",2006-10-31
2006-10-26,2006-10-29,59,36,"981 LV","Cook/RT Strategies",2006-10-31
2006-10-27,2006-10-29,53,42,"499 LV","CNN",2006-10-31
2006-10-26,2006-10-27,46,34,"a","Princeton Survey Research Associates International!!Newsweek",2006-10-29
2006-10-26,2006-10-27,49,38,"a","Princeton Survey Research Associates International!!Newsweek",2006-10-29
2006-10-27,2006-10-26,53,38,"677 LV","Newsweek",2006-10-28
2006-10-20,2006-10-25,51,34,"a","Ipsos-Public Affairs!!Associated Press, America Online",2006-10-27
2006-10-20,2006-10-25,51,36,"a","Ipsos-Public Affairs!!Associated Press, America Online",2006-10-27
2006-10-20,2006-10-25,56,37,"970 LV","AP-Ipsos",2006-10-27
2006-10-24,2006-10-25,49,38,"900 LV","FOX News",2006-10-27
2006-10-20,2006-10-23,46,31,"a","Harris Interactive!!",2006-10-25
2006-10-19,2006-10-23,52,34,"580 LV","Hotline/FD",2006-10-25
2006-10-20,2006-10-23,44,33,"1013 LV","Zogby",2006-10-25
2006-10-20,2006-10-22,52,37,"a","Gallup Organization!!USA Today",2006-10-24
2006-10-20,2006-10-22,48,34,"a","Gallup Organization!!USA Today",2006-10-24
2006-10-17,2006-10-22,49,38,"a","Princeton Survey Research Associates International!!Pew Research Center for the People & the Press",2006-10-24
2006-10-17,2006-10-22,44,33,"a","Princeton Survey Research Associates International!!Pew Research Center for the People & the Press",2006-10-24
2006-10-19,2006-10-22,51,39,"a","ABC News/Washington Post!!",2006-10-24
2006-10-20,2006-10-22,54,40,"a","Opinion Research Corporation!!Cable News Network",2006-10-24
2006-10-20,2006-10-22,50,37,"a","Opinion Research Corporation!!Cable News Network",2006-10-24
2006-10-17,2006-10-22,50,39,"1118 LV","Pew Research",2006-10-24
2006-10-19,2006-10-22,57,35,"683 LV","Cook/RT Strategies",2006-10-24
2006-10-20,2006-10-22,57,40,"LV","CNN",2006-10-24
2006-10-20,2006-10-22,54,41,"675 LV","USA Today/Gallup",2006-10-24
2006-10-19,2006-10-20,47,32,"a","Princeton Survey Research Associates International!!Newsweek",2006-10-22
2006-10-19,2006-10-20,51,37,"a","Princeton Survey Research Associates International!!Newsweek",2006-10-22
2006-10-19,2006-10-20,55,37,"578 LV","Newsweek",2006-10-22
2006-10-13,2006-10-16,52,37,"1006 RV","NBC/WSJ",2006-10-18
2006-10-13,2006-10-15,55,37,"a","Opinion Research Corporation!!Cable News Network",2006-10-17
2006-10-13,2006-10-15,53,35,"a","Opinion Research Corporation!!Cable News Network",2006-10-17
2006-10-13,2006-10-15,56,40,"LV","CNN",2006-10-17
2006-10-10,2006-10-11,50,41,"900 LV","FOX News",2006-10-13
2006-10-06,2006-10-09,47,35,"1001 Adults","Harris",2006-10-11
2006-10-05,2006-10-08,53,37,"a","ABC News/Washington Post!!",2006-10-10
2006-10-06,2006-10-08,57,34,"a","Gallup Organization!!USA Today",2006-10-10
2006-10-06,2006-10-08,53,31,"a","Gallup Organization!!USA Today",2006-10-10
2006-10-06,2006-10-08,55,36,"a","Opinion Research Corporation!!Cable News Network",2006-10-10
2006-10-06,2006-10-08,51,33,"a","Opinion Research Corporation!!Cable News Network",2006-10-10
2006-10-05,2006-10-08,49,38,"837 RV","Cook/RT Strategies",2006-10-10
2006-10-05,2006-10-08,49,35,"891 RV","CBS News/NY Times",2006-10-10
2006-10-05,2006-10-08,54,41,"LV &","ABC/Wash Post",2006-10-10
2006-10-06,2006-10-08,59,36,"622 LV","USA Today/Gallup",2006-10-10
